q,i,t,X,S,ID,C 
6,1,1,0,0,103,60 
6,1,2,0,0,90,50 
6,1,3,1,1,9,80 
6,1,4,1,1,70,50 
6,1,5,1,1,97,50 
6,1,6,0,0,22,60 
6,1,7,1,1,14,50 
6,1,8,1,1,71,70 
6,1,9,0,0,34,50 
6,1,10,1,1,26,50 
6,1,11,0,0,54,60 
6,1,12,0,0,53,60 
6,1,13,1,1,48,70 
6,1,14,0,0,121,60 
6,1,15,1,1,5,70 
6,1,16,1,0,25,50 
6,1,17,1,1,21,80 
6,1,18,1,0,104,60 
6,1,19,1,1,50,70 
6,1,20,0,0,112,70 
6,1,21,1,1,46,90 
6,1,22,1,1,51,60 
6,1,23,1,1,31,70 
6,1,24,1,1,29,50 
6,1,25,0,0,63,60 
6,1,26,1,1,30,60 
6,1,27,1,1,52,70 
6,1,28,1,1,61,70 
6,1,29,1,0,59,50 
6,1,30,1,0,123,60 
6,1,31,1,1,64,60 
6,1,32,0,0,111,60 
6,1,33,1,1,124,90 
6,1,34,0,0,98,60 
6,1,35,1,1,80,100 
6,1,36,1,1,79,90 
6,1,37,1,1,39,60 
6,1,38,1,1,37,60 
6,1,39,1,1,38,80 
6,1,40,1,1,7,60 
6,1,41,1,1,23,60 
6,1,42,1,0,12,70 
6,1,43,1,1,108,90 
6,1,44,1,1,56,80 
6,1,45,1,1,116,80 
6,1,46,1,1,81,70 
6,1,47,1,0,16,50 
6,1,48,0,1,27,60 
6,1,49,1,1,74,70 
6,1,50,1,1,89,50 
6,1,51,1,1,66,80 
6,1,52,1,1,73,80 
6,1,53,0,0,105,60 
6,1,54,1,1,106,70 
6,1,55,1,0,19,80 
6,1,56,1,0,8,90 
6,1,57,1,1,20,70 
6,1,58,1,1,3,70 
6,1,59,0,0,122,80 
6,1,60,1,1,94,90 
6,1,61,1,1,35,50 
6,1,62,1,1,95,90 
6,1,63,1,1,82,70 
6,2,1,0,0,102,70 
6,2,2,0,1,103,50 
6,2,3,0,0,70,60 
6,2,4,0,0,90,50 
6,2,5,0,1,9,80 
6,2,6,1,1,97,50 
6,2,7,0,0,22,80 
6,2,8,0,0,34,70 
6,2,9,0,1,71,50 
